"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 11 12:49:29 CET 2022","Fri Feb 11 12:49:51 CET 2022","21641","","com.example.helloselenide.ImdbTest","","com.example.helloselenide.ImdbTest","imdbsearch","imdbsearch()",""
"passed","Wed Feb 09 10:49:23 CET 2022","Wed Feb 09 10:49:27 CET 2022","4377","","com.example.helloselenide.AgeSuiteTest","","com.example.helloselenide.AgeSuiteTest","adultColaSelenide","adultColaSelenide()",""
"passed","Fri Feb 11 12:50:10 CET 2022","Fri Feb 11 12:50:11 CET 2022","1375","","com.example.helloselenide.robobar.AgeSuiteTest","","com.example.helloselenide.robobar.AgeSuiteTest","underageBeer","underageBeer()",""
"passed","Fri Feb 11 12:49:29 CET 2022","Fri Feb 11 12:49:29 CET 2022","9","","com.example.helloselenide.cucumber.CucumberTest","","com.example.helloselenide.cucumber.CucumberTest","","CucumberTest",""
"passed","Fri Feb 11 12:50:12 CET 2022","Fri Feb 11 12:50:12 CET 2022","553","","com.example.helloselenide.robobar.CartSuiteTest","","com.example.helloselenide.robobar.CartSuiteTest","colaTest","colaTest()",""
"passed","Wed Feb 09 10:36:07 CET 2022","Wed Feb 09 10:36:08 CET 2022","775","","com.example.helloselenide.CartSuiteTest","","com.example.helloselenide.CartSuiteTest","beerTest","beerTest()",""
"passed","Fri Feb 11 12:50:11 CET 2022","Fri Feb 11 12:50:12 CET 2022","835","","com.example.helloselenide.robobar.AgeSuiteTest","","com.example.helloselenide.robobar.AgeSuiteTest","underageCola","underageCola()",""
"passed","Wed Feb 09 10:31:59 CET 2022","Wed Feb 09 10:32:01 CET 2022","1435","","com.example.helloselenide.AgeSuiteTest","","com.example.helloselenide.AgeSuiteTest","underageBeer","underageBeer()",""
"passed","Fri Feb 11 12:50:13 CET 2022","Fri Feb 11 12:50:13 CET 2022","38","","com.example.helloselenide.robobar.RoboBarTest","","com.example.helloselenide.robobar.RoboBarTest","imdbsearch","imdbsearch()",""
"passed","Fri Feb 11 12:50:04 CET 2022","Fri Feb 11 12:50:07 CET 2022","2357","","com.example.helloselenide.MainPageTest","","com.example.helloselenide.MainPageTest","navigationToAllTools","navigationToAllTools()",""
"failed","Fri Feb 11 12:49:51 CET 2022","Fri Feb 11 12:49:59 CET 2022","7477","","com.example.helloselenide.MainPageTest","","com.example.helloselenide.MainPageTest","search","search()",""
"passed","Wed Feb 09 10:36:02 CET 2022","Wed Feb 09 10:36:07 CET 2022","4646","","com.example.helloselenide.CartSuiteTest","","com.example.helloselenide.CartSuiteTest","colaTest","colaTest()",""
"failed","Fri Feb 11 12:49:59 CET 2022","Fri Feb 11 12:50:04 CET 2022","5847","","com.example.helloselenide.MainPageTest","","com.example.helloselenide.MainPageTest","toolsMenu","toolsMenu()",""
"passed","Wed Feb 09 10:31:54 CET 2022","Wed Feb 09 10:31:59 CET 2022","5063","","com.example.helloselenide.AgeSuiteTest","","com.example.helloselenide.AgeSuiteTest","adultBeer","adultBeer()",""
"passed","Fri Feb 11 12:50:09 CET 2022","Fri Feb 11 12:50:10 CET 2022","541","","com.example.helloselenide.robobar.AgeSuiteTest","","com.example.helloselenide.robobar.AgeSuiteTest","adultWine","adultWine()",""
"failed","Tue Feb 08 13:43:33 CET 2022","Tue Feb 08 13:43:43 CET 2022","9157","","com.example.helloselenide.RoboBarTest","","com.example.helloselenide.RoboBarTest","imdbsearch","imdbsearch()",""
"passed","Wed Feb 09 10:32:01 CET 2022","Wed Feb 09 10:32:02 CET 2022","1076","","com.example.helloselenide.AgeSuiteTest","","com.example.helloselenide.AgeSuiteTest","underageCola","underageCola()",""
"passed","Fri Feb 11 12:50:07 CET 2022","Fri Feb 11 12:50:09 CET 2022","2184","","com.example.helloselenide.robobar.AgeSuiteTest","","com.example.helloselenide.robobar.AgeSuiteTest","adultBeer","adultBeer()",""
"passed","Fri Feb 11 12:50:12 CET 2022","Fri Feb 11 12:50:13 CET 2022","557","","com.example.helloselenide.robobar.CartSuiteTest","","com.example.helloselenide.robobar.CartSuiteTest","beerTest","beerTest()",""
